Date,Portfolio_Value
2024-01-29,261964.7411254464
2024-01-30,262211.5770028273
2024-01-31,257117.31894135458
2024-02-01,260227.7342440288
2024-02-02,261440.87281892973
2024-02-05,261781.8538880831
2024-02-06,261232.49938756344
2024-02-07,262730.3877231735
2024-02-08,263191.59377547866
2024-02-09,264632.07000907295
2024-02-12,265410.2353820446
2024-02-13,262180.9362331772
2024-02-14,264215.93923065515
2024-02-15,266388.5461657026
2024-02-16,265511.1679388434
2024-02-20,264665.5763574132
2024-02-21,265867.7420127277
2024-02-22,271425.84384028806
2024-02-23,271118.08865452674
2024-02-26,270463.0255274599
2024-02-27,270921.2980714952
2024-02-28,269746.3238152949
2024-02-29,271050.59394845983
2024-03-01,274361.58016833133
2024-03-04,272439.75397693133
2024-03-05,271756.747153778
2024-03-06,273295.6115459716
2024-03-07,276652.06270569284
2024-03-08,274647.69021040504
2024-03-11,274756.7076531248
2024-03-12,278447.91399923275
2024-03-13,278729.1252285533
2024-03-14,279577.57031688705
2024-03-15,278181.46872141433
2024-03-18,281469.33328162396
2024-03-19,282602.8101959206
2024-03-20,284930.40546810505
2024-03-21,287983.38070729043
2024-03-22,288961.07362343546
2024-03-25,290769.03962882195
2024-03-26,290143.0054687421
2024-03-27,291173.7281572637
2024-03-28,291918.3595327394
2024-04-01,293497.8469748369
2024-04-02,292682.12342089805
2024-04-03,294566.6576648956
2024-04-04,291277.60777913674
2024-04-05,294094.77630108414
2024-04-08,293256.40856014687
2024-04-09,294004.26043535763
2024-04-10,293846.45717521966
2024-04-11,295049.2980080916
2024-04-12,291260.18581529567
2024-04-15,288157.62617619016
2024-04-16,288047.45745942695
2024-04-17,286277.62419861346
2024-04-18,285291.60923287383
2024-04-19,282734.7172056302
2024-04-22,285049.3403455774
2024-04-23,288014.22961381444
2024-04-24,288591.90511326183
2024-04-25,288885.4511145148
2024-04-26,294352.5970046473
2024-04-29,293792.8254510958
2024-04-30,287919.66099630547
2024-05-01,285983.06859238213
2024-05-02,288809.4353728033
2024-05-03,291036.85349406715
2024-05-06,294805.5637362182
2024-05-07,295845.9519012287
2024-05-08,295369.8691693485
2024-05-09,296199.9327268362
2024-05-10,296329.5466341337
2024-05-13,296667.84363322234
2024-05-14,297006.12598980154
2024-05-15,299881.71843932295
2024-05-16,300601.7997773057
2024-05-17,301292.7706171307
2024-05-20,303052.4080117035
2024-05-21,303655.26749467885
2024-05-22,301997.180433461
2024-05-23,301138.03622288833
2024-05-24,303413.31222669675
2024-05-28,305626.28417476465
2024-05-29,304103.57298490906
2024-05-30,301812.0858218855
